Date,TransactionID,BSB,AccountNumber,Description,Debit,Credit,Balance,Type,Reference,Bank,AccountType
01-08-2025 00:02,ANZ9115286010CF49F79804,012-345-678,11111111,BIGW ANZ,36.87,0,4197.12,DR,REF280388,ANZ,Savings
01-08-2025 00:02,ANZ90DB6EAC4A4B41109AB9,012-345-678,11111111,DOMINO'S PIZZA ANZ,7.54,0,4189.58,DR,REF816670,ANZ,Savings
01-08-2025 00:13,ANZA70BB60F530F4566AD76,012-345-678,11111111,MCDONALDS ANZ,34,0,4155.58,DR,REF758290,ANZ,Savings
01-08-2025 01:21,ANZ7C8B8442D4FB4F028C29,012-345-678,11111111,7-ELEVEN ANZ,155.38,0,4000.2,DR,REF797290,ANZ,Savings
01-08-2025 02:30,ANZ76BF6D6EC6F945339E28,012-345-678,11111111,MCDONALDS ANZ,108.01,0,3892.19,DR,REF802594,ANZ,Savings
01-08-2025 02:34,ANZ642C239B0DA5429398D8,012-345-678,11111111,ALDI ANZ,42.13,0,3850.06,DR,REF898832,ANZ,Savings
01-08-2025 02:45,ANZ3895BDE5AB38494A9D9E,012-345-678,11111111,UBER EATS ANZ,58.87,0,3791.19,DR,REF811766,ANZ,Savings
01-08-2025 02:47,ANZ9F20A6CAE215494484EC,012-345-678,11111111,SALARY PAYMENT ANZ,0,2417.14,6208.33,CR,REF447726,ANZ,Savings
01-08-2025 02:48,ANZ0F684C76EFA94B2EB072,012-345-678,11111111,UBER EATS ANZ,23.42,0,6184.91,DR,REF255942,ANZ,Savings
01-08-2025 02:52,ANZ6C79EFE60C4E4B23B0E3,012-345-678,11111111,BIGW ANZ,93.26,0,6091.65,DR,REF277052,ANZ,Savings
01-08-2025 03:25,ANZDA4AE7183797442D9C0C,012-345-678,11111111,7-ELEVEN ANZ,36.5,0,6055.15,DR,REF343966,ANZ,Savings
01-08-2025 03:44,ANZ7A58889BFCD34E42B230,012-345-678,11111111,PAY - SALARY ANZ,0,431.04,6486.19,CR,REF400751,ANZ,Savings
01-08-2025 04:16,ANZ0002A3396E5648DBBE5A,012-345-678,11111111,TAFE BOOKSHOP ANZ,31.78,0,6454.41,DR,REF679545,ANZ,Savings
01-08-2025 04:31,ANZ8160A1E24B274305B5C0,012-345-678,11111111,UBER EATS ANZ,55.85,0,6398.56,DR,REF179798,ANZ,Savings
01-08-2025 04:40,ANZ88DEC0BB106C46309B67,012-345-678,11111111,ALDI ANZ,18.24,0,6380.32,DR,REF919056,ANZ,Savings
01-08-2025 04:44,ANZ17C68F8AE47545688947,012-345-678,11111111,CITYLINK ANZ,113.18,0,6267.14,DR,REF792215,ANZ,Savings
01-08-2025 04:45,ANZ737D8DAACED249A3A097,012-345-678,11111111,SHELL ANZ,23.73,0,6243.41,DR,REF353754,ANZ,Savings
01-08-2025 04:49,ANZF572A24A9C2D455698CC,012-345-678,11111111,PAYMENT GATEWAY ANZ,23.43,0,6219.98,DR,REF515187,ANZ,Savings
01-08-2025 04:59,ANZ0A9D68753FFF4904A261,012-345-678,11111111,SHELL ANZ,30.12,0,6189.86,DR,REF562352,ANZ,Savings
01-08-2025 05:11,ANZ2F71216A59F144A1B2E4,012-345-678,11111111,APPLE ANZ,6.1,0,6183.76,DR,REF547504,ANZ,Savings
01-08-2025 05:17,ANZF2C7B8ADE10A4A3FA14F,012-345-678,11111111,FLIXBUS ANZ,114.15,0,6069.61,DR,REF894786,ANZ,Savings
01-08-2025 05:19,ANZA1A22FBDC0014812B65A,012-345-678,11111111,SHELL ANZ,54.61,0,6015,DR,REF362128,ANZ,Savings
01-08-2025 05:45,ANZB2B75A49C75D46EB8A8F,012-345-678,11111111,COMPANY PAYROLL ANZ,0,1656.25,7671.25,CR,REF680004,ANZ,Savings
01-08-2025 05:47,ANZ201F6DAAF77443E1B41B,012-345-678,11111111,PAYMENT GATEWAY ANZ,53.63,0,7617.62,DR,REF376459,ANZ,Savings
01-08-2025 06:06,ANZ702BE17549D942C79984,012-345-678,11111111,BANK FEE ANZ,36.1,0,7581.52,DR,REF440594,ANZ,Savings
01-08-2025 06:10,ANZ622BA6E427524B1CBD79,012-345-678,11111111,7-ELEVEN ANZ,19.97,0,7561.55,DR,REF270611,ANZ,Savings
01-08-2025 06:16,ANZE44096F17818419F914F,012-345-678,11111111,COLES ANZ,71.3,0,7490.25,DR,REF998487,ANZ,Savings
01-08-2025 06:23,ANZ904D44AF35274A499D82,012-345-678,11111111,BANK FEE ANZ,6.17,0,7484.08,DR,REF259172,ANZ,Savings
01-08-2025 06:24,ANZ2E78B41EF2C74463AB2C,012-345-678,11111111,DOMINO'S PIZZA ANZ,3.79,0,7480.29,DR,REF647288,ANZ,Savings
01-08-2025 06:29,ANZFA5008477E1041038A5B,012-345-678,11111111,HARVEY NORMAN ANZ,33.04,0,7447.25,DR,REF379753,ANZ,Savings
01-08-2025 06:39,ANZ48F2F5EB78EA40AD8419,012-345-678,11111111,SHELL ANZ,58.04,0,7389.21,DR,REF278834,ANZ,Savings
01-08-2025 06:49,ANZ4EA1F3AEF50241CDA4F7,012-345-678,11111111,HARVEY NORMAN ANZ,98.25,0,7290.96,DR,REF490875,ANZ,Savings
01-08-2025 07:10,ANZ469955F610A0439DA306,012-345-678,11111111,MCDONALDS ANZ,30.88,0,7260.08,DR,REF735835,ANZ,Savings
01-08-2025 07:17,ANZAD07097825054961A173,012-345-678,11111111,AMAZON AU ANZ,9.73,0,7250.35,DR,REF281052,ANZ,Savings
01-08-2025 08:10,ANZDD510B44858946D9B374,012-345-678,11111111,INTERNET TRANSFER ANZ,93.74,0,7156.61,DR,REF840257,ANZ,Savings
01-08-2025 08:20,ANZ577A7E3EC4B84455913C,012-345-678,11111111,ZOOM ANZ,9.13,0,7147.48,DR,REF364561,ANZ,Savings
01-08-2025 08:42,ANZ71A023B8B5B14D3CAEE4,012-345-678,11111111,BIGW ANZ,72.71,0,7074.77,DR,REF767686,ANZ,Savings
01-08-2025 08:46,ANZDFD0C66A56F2488AAFDA,012-345-678,11111111,COLES ANZ,79.42,0,6995.35,DR,REF220421,ANZ,Savings
01-08-2025 09:21,ANZD63B74D0D3B84E87ACE3,012-345-678,11111111,MENULOG ANZ,57.86,0,6937.49,DR,REF221117,ANZ,Savings
01-08-2025 09:24,ANZ18516E1174D04EF58190,012-345-678,11111111,COMPANY PAYROLL ANZ,0,9.03,6946.52,CR,REF343323,ANZ,Savings
01-08-2025 09:29,ANZE22B7B59B11D4F22B115,012-345-678,11111111,MCDONALDS ANZ,17.06,0,6929.46,DR,REF208182,ANZ,Savings
01-08-2025 09:34,ANZ8A0E7D0BD1324F1CB8A4,012-345-678,11111111,ZOOM ANZ,161.53,0,6767.93,DR,REF162120,ANZ,Savings
01-08-2025 09:36,ANZD6137F64C97D4880A714,012-345-678,11111111,PAYPAL *NETFLIX ANZ,12.38,0,6755.55,DR,REF308211,ANZ,Savings
01-08-2025 10:09,ANZBEC8940379854B75AF6A,012-345-678,11111111,PAY - SALARY ANZ,0,2568.03,9323.58,CR,REF960326,ANZ,Savings
01-08-2025 11:11,ANZ202A3C17F637446C8451,012-345-678,11111111,APPLE ANZ,19.86,0,9303.72,DR,REF377703,ANZ,Savings
01-08-2025 11:15,ANZ37EEC2E8EA4A43D1A60E,012-345-678,11111111,SALARY PAYMENT ANZ,0,6433.85,15737.57,CR,REF691577,ANZ,Savings
01-08-2025 11:15,ANZ4ADFEA5D1A99412F9116,012-345-678,11111111,BIGW ANZ,25.03,0,15712.54,DR,REF817869,ANZ,Savings
01-08-2025 11:29,ANZ226BEF7D6D4D4ADDAF4C,012-345-678,11111111,7-ELEVEN ANZ,68.18,0,15644.36,DR,REF197270,ANZ,Savings
01-08-2025 11:43,ANZ6569B52FB5D549EFBEBC,012-345-678,11111111,CITYLINK ANZ,49.29,0,15595.07,DR,REF950423,ANZ,Savings
01-08-2025 11:50,ANZ000CC5A98318471E8B85,012-345-678,11111111,BANK FEE ANZ,63.64,0,15531.43,DR,REF193790,ANZ,Savings
01-08-2025 11:51,ANZ772A6ECDC8F94468ACAC,012-345-678,11111111,SHELL ANZ,84.47,0,15446.96,DR,REF219021,ANZ,Savings
01-08-2025 11:57,ANZ0FA2DB86777543EF91BD,012-345-678,11111111,DOMINO'S PIZZA ANZ,45.19,0,15401.77,DR,REF324154,ANZ,Savings
01-08-2025 12:26,ANZ9A2E73EC972E4D8B9568,012-345-678,11111111,HARVEY NORMAN ANZ,38.48,0,15363.29,DR,REF282703,ANZ,Savings
01-08-2025 13:19,ANZE07341A7E8D24E0D813A,012-345-678,11111111,MCDONALDS ANZ,26.62,0,15336.67,DR,REF112614,ANZ,Savings
01-08-2025 14:00,ANZA1E159F9E9F948B59222,012-345-678,11111111,JB HI-FI ANZ,46.58,0,15290.09,DR,REF439797,ANZ,Savings
01-08-2025 14:40,ANZ05D9068BAB4F46C8932D,012-345-678,11111111,MENULOG ANZ,144.16,0,15145.93,DR,REF731407,ANZ,Savings
01-08-2025 15:01,ANZ3D07E8D2C2E643FEBDE5,012-345-678,11111111,HARVEY NORMAN ANZ,25.14,0,15120.79,DR,REF621098,ANZ,Savings
01-08-2025 15:36,INTB5B6D0A8C1644865A001,012-345-678,11111111,TRANSFER FROM CBA 33333333,0,243.75,15364.54,CR,INT-79238,ANZ,Savings
01-08-2025 15:56,ANZ713CC3A5FD384871B961,012-345-678,11111111,BWS ANZ,33.01,0,15331.53,DR,REF555431,ANZ,Savings
01-08-2025 16:18,ANZ038DD9B3B88E4797987A,012-345-678,11111111,BP ANZ,38.39,0,15293.14,DR,REF189195,ANZ,Savings
01-08-2025 16:39,ANZ8C3BB656982A461B872F,012-345-678,11111111,MENULOG ANZ,60.31,0,15232.83,DR,REF543073,ANZ,Savings
01-08-2025 17:21,ANZD7BF0AE4644A44668EF9,012-345-678,11111111,MCDONALDS ANZ,45.99,0,15186.84,DR,REF272819,ANZ,Savings
01-08-2025 17:41,ANZ69FB6EEBD246489FA9EC,012-345-678,11111111,MCDONALDS ANZ,50.85,0,15135.99,DR,REF700909,ANZ,Savings
01-08-2025 18:05,ANZC546D03C33714A8EB4A4,012-345-678,11111111,AMAZON AU ANZ,48.64,0,15087.35,DR,REF650263,ANZ,Savings
01-08-2025 18:25,ANZ914CFC563C32460FB835,012-345-678,11111111,PAYMENT GATEWAY ANZ,68.09,0,15019.26,DR,REF930994,ANZ,Savings
01-08-2025 18:40,ANZC71DCDDC08AF4155BCE1,012-345-678,11111111,ALDI ANZ,70.26,0,14949,DR,REF673336,ANZ,Savings
01-08-2025 18:46,ANZ9B6508A3574340B08E3E,012-345-678,11111111,STARBUCKS ANZ,51.08,0,14897.92,DR,REF512775,ANZ,Savings
01-08-2025 19:01,ANZ9236F2C40C6449A9968B,012-345-678,11111111,CITYLINK ANZ,5.07,0,14892.85,DR,REF789331,ANZ,Savings
01-08-2025 19:05,ANZ255FE3F5125540EFB491,012-345-678,11111111,7-ELEVEN ANZ,60.57,0,14832.28,DR,REF537289,ANZ,Savings
01-08-2025 19:14,ANZ3E9517044F624B30BECE,012-345-678,11111111,FLIXBUS ANZ,140.77,0,14691.51,DR,REF939761,ANZ,Savings
01-08-2025 19:22,ANZCCE081633AA64DEDB6A9,012-345-678,11111111,ALDI ANZ,38.93,0,14652.58,DR,REF103279,ANZ,Savings
01-08-2025 19:30,ANZ0FA573CA00024D7CB32C,012-345-678,11111111,FLIXBUS ANZ,13.4,0,14639.18,DR,REF547044,ANZ,Savings
01-08-2025 19:53,ANZ2BC7922D27FC4EB1B52C,012-345-678,11111111,MCDONALDS ANZ,33.07,0,14606.11,DR,REF335099,ANZ,Savings
01-08-2025 20:00,ANZ42013E870DA24560B264,012-345-678,11111111,AMAZON AU ANZ,10.26,0,14595.85,DR,REF863033,ANZ,Savings
01-08-2025 20:29,ANZD82637A2844F433E9243,012-345-678,11111111,BANK FEE ANZ,90.07,0,14505.78,DR,REF862083,ANZ,Savings
01-08-2025 22:00,ANZ2660CDA9EDA449B89FE1,012-345-678,11111111,STARBUCKS ANZ,37.84,0,14467.94,DR,REF396785,ANZ,Savings
01-08-2025 22:02,ANZA4486B22CCD749649FED,012-345-678,11111111,STARBUCKS ANZ,29.31,0,14438.63,DR,REF309918,ANZ,Savings
01-08-2025 22:06,ANZF24AC64C484A419FA3F5,012-345-678,11111111,MENULOG ANZ,60.87,0,14377.76,DR,REF119303,ANZ,Savings
01-08-2025 22:07,ANZ50AF8EE023014E19B7AC,012-345-678,11111111,COLES ANZ,223.11,0,14154.65,DR,REF549542,ANZ,Savings
01-08-2025 22:16,ANZE079F648AD9D4C67B595,012-345-678,11111111,KFC ANZ,88.51,0,14066.14,DR,REF672819,ANZ,Savings
01-08-2025 23:03,ANZ20EDA90CF6CD49838F07,012-345-678,11111111,LIQUORLAND ANZ,14.84,0,14051.3,DR,REF462933,ANZ,Savings
01-08-2025 23:05,ANZ544DAEF4D78146C2B987,012-345-678,11111111,APPLE ANZ,79.6,0,13971.7,DR,REF139900,ANZ,Savings
01-08-2025 23:12,ANZ74D8A735FC8E4CA99407,012-345-678,11111111,WAGES CREDIT ANZ,0,1575.77,15547.47,CR,REF340680,ANZ,Savings
01-08-2025 23:29,ANZCB97C8E5815E418F95B7,012-345-678,11111111,RAILWAY STATION ANZ,15.9,0,15531.57,DR,REF668180,ANZ,Savings
01-08-2025 23:40,ANZ5E385DE82BEF482C9EAD,012-345-678,11111111,FLIXBUS ANZ,52.74,0,15478.83,DR,REF379869,ANZ,Savings
01-08-2025 23:49,ANZ1D767BE6BF934FD1A52B,012-345-678,11111111,FLIXBUS ANZ,10.6,0,15468.23,DR,REF593970,ANZ,Savings
02-08-2025 00:29,ANZ38480D103CEC49B6A8A2,012-345-678,11111111,ZOOM ANZ,6.16,0,15462.07,DR,REF672966,ANZ,Savings
02-08-2025 00:34,ANZ7DB747F4710F49C980B7,012-345-678,11111111,CITYLINK ANZ,73.26,0,15388.81,DR,REF601437,ANZ,Savings
02-08-2025 00:40,ANZF5C4CE23D61E4A119F7B,012-345-678,11111111,RAILWAY STATION ANZ,23.02,0,15365.79,DR,REF592512,ANZ,Savings
02-08-2025 00:54,ANZ966B6F1955AF4558BC05,012-345-678,11111111,HARVEY NORMAN ANZ,76.94,0,15288.85,DR,REF965577,ANZ,Savings
02-08-2025 01:04,ANZ6C182B6FF7BC4BBC9305,012-345-678,11111111,BP ANZ,66.05,0,15222.8,DR,REF143591,ANZ,Savings
02-08-2025 01:15,ANZ9B1604B876884910AE30,012-345-678,11111111,BANK FEE ANZ,89.44,0,15133.36,DR,REF425207,ANZ,Savings
02-08-2025 01:27,ANZ0A7B0FC884474A8E9CEE,012-345-678,11111111,JB HI-FI ANZ,41.2,0,15092.16,DR,REF613867,ANZ,Savings
02-08-2025 01:27,ANZ20DE01B2B9384433A174,012-345-678,11111111,PAY - SALARY ANZ,0,7250.92,22343.08,CR,REF621719,ANZ,Savings
02-08-2025 01:38,ANZFBF8865796AB4759B516,012-345-678,11111111,7-ELEVEN ANZ,29.94,0,22313.14,DR,REF770655,ANZ,Savings
02-08-2025 01:54,ANZ29D33314351C4372A647,012-345-678,11111111,MENULOG ANZ,29.59,0,22283.55,DR,REF672381,ANZ,Savings
02-08-2025 02:15,ANZ11267343FEF14EF699D6,012-345-678,11111111,PAYROLL CREDIT ANZ,0,6513.75,28797.3,CR,REF600590,ANZ,Savings
02-08-2025 02:23,ANZ11845CD03A5245CBA4F9,012-345-678,11111111,SHELL ANZ,13.92,0,28783.38,DR,REF862057,ANZ,Savings
02-08-2025 02:29,ANZ076E26DD3F594341BBB3,012-345-678,11111111,COMPANY PAYROLL ANZ,0,1016.62,29800,CR,REF806310,ANZ,Savings
