Date,TransactionID,BSB,AccountNumber,Description,Debit,Credit,Balance,Type,Reference,Bank,AccountType
01-08-2025 00:10,CBAE682529DEF214F0CA133,063-000-001,22222222,SHELL CBA,7.05,0,2814.08,DR,REF960576,CBA,Savings
01-08-2025 00:52,CBAA42429731D2D4CE19967,063-000-001,22222222,BANK FEE CBA,29.48,0,2784.6,DR,REF718943,CBA,Savings
01-08-2025 01:00,CBACDC6EA8D8C3F4870B625,063-000-001,22222222,CITYLINK CBA,107.49,0,2677.11,DR,REF765248,CBA,Savings
01-08-2025 01:06,CBABD2644B65EC9471FB637,063-000-001,22222222,BANK FEE CBA,12.25,0,2664.86,DR,REF715328,CBA,Savings
01-08-2025 01:13,CBAD60C6E6BF0554C3F88AB,063-000-001,22222222,PAYMENT GATEWAY CBA,13.48,0,2651.38,DR,REF475813,CBA,Savings
01-08-2025 01:51,CBA80895AD98B8741BDAA59,063-000-001,22222222,PAYROLL CREDIT CBA,0,3624.36,6275.74,CR,REF282276,CBA,Savings
01-08-2025 02:02,CBA05DF6F19A06C4B618ABF,063-000-001,22222222,COLES CBA,15.12,0,6260.62,DR,REF754003,CBA,Savings
01-08-2025 02:25,CBA5B8F341AA5FF4E85A8E1,063-000-001,22222222,DOMINO'S PIZZA CBA,58.38,0,6202.24,DR,REF279365,CBA,Savings
01-08-2025 02:36,CBA7DD4ED6C58B94B499170,063-000-001,22222222,COMPANY PAYROLL CBA,0,475.1,6677.34,CR,REF730744,CBA,Savings
01-08-2025 03:16,CBAC366A3CFC16A406AB430,063-000-001,22222222,MCDONALDS CBA,54.53,0,6622.81,DR,REF219877,CBA,Savings
01-08-2025 03:37,CBAA6267E58CD8A4FD78F35,063-000-001,22222222,ALDI CBA,115.98,0,6506.83,DR,REF542065,CBA,Savings
01-08-2025 03:41,CBA3C16F9323AED40129993,063-000-001,22222222,BWS CBA,20.87,0,6485.96,DR,REF436939,CBA,Savings
01-08-2025 04:06,CBA3F1E73A25F1F4CF5B7E1,063-000-001,22222222,SALARY PAYMENT CBA,0,2233.69,8719.65,CR,REF742706,CBA,Savings
01-08-2025 04:21,CBAD4C244F4AE8741C39382,063-000-001,22222222,COMPANY PAYROLL CBA,0,1616.22,10335.87,CR,REF120719,CBA,Savings
01-08-2025 04:34,CBA7FE25D4F9F734895BFD1,063-000-001,22222222,KFC CBA,71.21,0,10264.66,DR,REF780710,CBA,Savings
01-08-2025 04:55,CBA554E0C79B4B543178948,063-000-001,22222222,AMAZON AU CBA,11.6,0,10253.06,DR,REF524871,CBA,Savings
01-08-2025 05:04,CBA3A3077DF34D340938CF7,063-000-001,22222222,LIQUORLAND CBA,29.81,0,10223.25,DR,REF757287,CBA,Savings
01-08-2025 05:05,CBA64CF2F3F28E14F288999,063-000-001,22222222,BWS CBA,15.22,0,10208.03,DR,REF626899,CBA,Savings
01-08-2025 05:06,CBAD25E845638A24368A359,063-000-001,22222222,SPOTIFY CBA,19.06,0,10188.97,DR,REF384627,CBA,Savings
01-08-2025 05:25,CBA52A6DB7035374E09A43C,063-000-001,22222222,CITYLINK CBA,75.51,0,10113.46,DR,REF100372,CBA,Savings
01-08-2025 05:39,CBA8E796CAC7834491192B9,063-000-001,22222222,MENULOG CBA,71.71,0,10041.75,DR,REF322138,CBA,Savings
01-08-2025 05:45,CBA80835AD75AB8428483F2,063-000-001,22222222,ALDI CBA,60.91,0,9980.84,DR,REF493256,CBA,Savings
01-08-2025 05:51,CBACB9984312F404CF08410,063-000-001,22222222,APPLE CBA,70.28,0,9910.56,DR,REF226032,CBA,Savings
