Date,TransactionID,BSB,AccountNumber,Description,Debit,Credit,Balance,Type,Reference,Bank,AccountType
01-08-2025 00:02,CBA15EFF896E1EA4BF5A62F,063-000-002,33333333,SALARY PAYMENT CBA,0,836.42,5696.47,CR,REF396533,CBA,Current
01-08-2025 00:03,INTF1C599A1E55B4DB99D86,063-000-002,33333333,TRANSFER FROM NAB 44444444,0,1055.57,6752.04,CR,INT-91580,CBA,Current
01-08-2025 00:19,CBA06C8754EA3C948C1A2C0,063-000-002,33333333,MENULOG CBA,132.16,0,6619.88,DR,REF397562,CBA,Current
01-08-2025 01:07,CBAB849A90D85D9414BB6EB,063-000-002,33333333,SALARY PAYMENT CBA,0,6896.2,13516.08,CR,REF523937,CBA,Current
01-08-2025 01:28,CBA0ED6B828057949FC8850,063-000-002,33333333,WAGES CREDIT CBA,0,4156.1,17672.18,CR,REF186101,CBA,Current
01-08-2025 01:45,CBA05A60657DC2940D296E3,063-000-002,33333333,KFC CBA,14.44,0,17657.74,DR,REF263662,CBA,Current
01-08-2025 01:58,CBA9124AD88183049A689A4,063-000-002,33333333,DOMINO'S PIZZA CBA,18.51,0,17639.23,DR,REF879973,CBA,Current
01-08-2025 02:13,CBA80B460E20D7F4316904B,063-000-002,33333333,WAGES CREDIT CBA,0,3515.87,21155.1,CR,REF770567,CBA,Current
01-08-2025 02:21,CBAC8C468AAF89E4787B93A,063-000-002,33333333,PAYMENT GATEWAY CBA,8.8,0,21146.3,DR,REF284208,CBA,Current
01-08-2025 02:26,CBA59178113000849778C84,063-000-002,33333333,PAY - SALARY CBA,0,2567,23713.3,CR,REF239160,CBA,Current
01-08-2025 02:27,CBAF9C655D328BD49969EE6,063-000-002,33333333,FLIXBUS CBA,5.11,0,23708.19,DR,REF342345,CBA,Current
01-08-2025 04:09,CBACC8FECC2A2D9494091BD,063-000-002,33333333,KFC CBA,37.62,0,23670.57,DR,REF674970,CBA,Current
01-08-2025 04:35,CBA1ACA604EB5654B05A67D,063-000-002,33333333,HARVEY NORMAN CBA,36.82,0,23633.75,DR,REF198646,CBA,Current
01-08-2025 05:01,CBACEF70A0D9EB14F7388CC,063-000-002,33333333,FLIXBUS CBA,40.07,0,23593.68,DR,REF677098,CBA,Current
01-08-2025 05:04,CBA6C264BC9ACA0471BA1CB,063-000-002,33333333,KFC CBA,11.1,0,23582.58,DR,REF426984,CBA,Current
01-08-2025 05:29,CBA3AC1467CF5994DA78614,063-000-002,33333333,7-ELEVEN CBA,66.96,0,23515.62,DR,REF565012,CBA,Current
01-08-2025 05:44,CBA794A23BDFB2546BAA18D,063-000-002,33333333,BP CBA,62.53,0,23453.09,DR,REF843059,CBA,Current
01-08-2025 05:51,CBA7605740C1C0F4AC3AB1C,063-000-002,33333333,BIGW CBA,8.63,0,23444.46,DR,REF822789,CBA,Current
01-08-2025 06:07,CBA59849FDF117745D08F48,063-000-002,33333333,MENULOG CBA,10.29,0,23434.17,DR,REF572028,CBA,Current
01-08-2025 06:32,CBA270CFB5E16D944619236,063-000-002,33333333,BIGW CBA,112.36,0,23321.81,DR,REF508712,CBA,Current
01-08-2025 06:49,CBA34FFBE0BF81A4E5CB54F,063-000-002,33333333,MENULOG CBA,83.19,0,23238.62,DR,REF549476,CBA,Current
01-08-2025 07:13,CBAC12C4CD499D44149B407,063-000-002,33333333,COMPANY PAYROLL CBA,0,1948.43,25187.05,CR,REF578984,CBA,Current
01-08-2025 07:48,CBA294CD1DE6A774ED7820B,063-000-002,33333333,MENULOG CBA,43.4,0,25143.65,DR,REF370859,CBA,Current
01-08-2025 08:04,CBAFC98A46ECC66436E82F9,063-000-002,33333333,TAFE BOOKSHOP CBA,100.42,0,25043.23,DR,REF586315,CBA,Current
01-08-2025 08:32,CBA141593B77837442C81DB,063-000-002,33333333,KFC CBA,15.05,0,25028.18,DR,REF856689,CBA,Current
01-08-2025 09:27,CBA56317D666D474AA99565,063-000-002,33333333,PAYMENT GATEWAY CBA,17.35,0,25010.83,DR,REF458527,CBA,Current
01-08-2025 09:47,CBA0F0D00B6D6DE4D6DABE7,063-000-002,33333333,7-ELEVEN CBA,42.37,0,24968.46,DR,REF282767,CBA,Current
01-08-2025 10:05,CBAA2398453C906430FB290,063-000-002,33333333,HARVEY NORMAN CBA,5.03,0,24963.43,DR,REF814252,CBA,Current
01-08-2025 10:14,CBAD6FABB97A50C4B65BE89,063-000-002,33333333,WAGES CREDIT CBA,0,5245.17,30208.6,CR,REF247752,CBA,Current
01-08-2025 10:14,CBA853D4E03EDD349CE9D37,063-000-002,33333333,AMAZON AU CBA,6.12,0,30202.48,DR,REF272658,CBA,Current
01-08-2025 10:32,CBAEA406F4EB4B5422BABB2,063-000-002,33333333,HARVEY NORMAN CBA,105.12,0,30097.36,DR,REF459515,CBA,Current
