Date,TransactionID,BSB,AccountNumber,Description,Debit,Credit,Balance,Type,Reference,Bank,AccountType
01-08-2025 00:03,INTCB485F415ED9488FAFBD,082-900-001,44444444,TRANSFER TO CBA 33333333,1055.57,0,213.46,DR,INT-91580,NAB,Business
01-08-2025 00:32,NAB5C755471CA254068A8A0,082-900-001,44444444,PAYPAL *NETFLIX NAB,199.11,0,14.35,DR,REF298683,NAB,Business
01-08-2025 00:39,NABEC55C604628F4BDF9429,082-900-001,44444444,JB HI-FI NAB,106.27,0,-91.92,DR,REF778520,NAB,Business
01-08-2025 01:04,NABD9D699EC790947DFA89E,082-900-001,44444444,MCDONALDS NAB,42.04,0,-133.96,DR,REF481437,NAB,Business
01-08-2025 01:41,NAB976F16D298DF48328705,082-900-001,44444444,DOMINO'S PIZZA NAB,138.36,0,-272.32,DR,REF638092,NAB,Business
01-08-2025 01:43,NAB1663771BFCBD41A6B95E,082-900-001,44444444,DOMINO'S PIZZA NAB,187.11,0,-459.43,DR,REF443271,NAB,Business
01-08-2025 01:44,NAB1FCC1A3AF26A46EB8C2D,082-900-001,44444444,FLIXBUS NAB,137.99,0,-597.42,DR,REF701711,NAB,Business
01-08-2025 01:55,NAB26F504C4B1584256B032,082-900-001,44444444,JB HI-FI NAB,238.49,0,-835.91,DR,REF151438,NAB,Business
01-08-2025 02:26,NAB3F3BDEB8796B4CDE9D6F,082-900-001,44444444,COLES NAB,168.33,0,-1004.24,DR,REF747206,NAB,Business
01-08-2025 02:44,NAB5B891E7EC3B3429491B7,082-900-001,44444444,APPLE NAB,151.47,0,-1155.71,DR,REF146856,NAB,Business
01-08-2025 02:45,NABB5BFBEBFA51D4BF3935F,082-900-001,44444444,JB HI-FI NAB,67.98,0,-1223.69,DR,REF986950,NAB,Business
01-08-2025 03:16,NABEBD135AF87E940CAA484,082-900-001,44444444,WOOLWORTHS NAB,60.85,0,-1284.54,DR,REF132447,NAB,Business
01-08-2025 04:15,NABEDE820CF357F4DE898B8,082-900-001,44444444,RAILWAY STATION NAB,46.5,0,-1331.04,DR,REF107235,NAB,Business
01-08-2025 04:15,NAB188D983CA6DD4DE29A93,082-900-001,44444444,UBER EATS NAB,35.94,0,-1366.98,DR,REF732378,NAB,Business
01-08-2025 04:31,NAB2C9C75D9A73543EE80E6,082-900-001,44444444,SPOTIFY NAB,619.41,0,-1986.39,DR,REF113362,NAB,Business
01-08-2025 05:07,NABEF42D2738B8D4D5084E0,082-900-001,44444444,SPOTIFY NAB,51.41,0,-2037.8,DR,REF151227,NAB,Business
01-08-2025 05:23,NAB9901FA6B8B31474B93BD,082-900-001,44444444,APPLE NAB,72.68,0,-2110.48,DR,REF194850,NAB,Business
01-08-2025 05:25,NAB33B6F119C6D74CEB9405,082-900-001,44444444,ALDI NAB,110.21,0,-2220.69,DR,REF527137,NAB,Business
01-08-2025 05:47,NABEE40793FB13148AE8431,082-900-001,44444444,RAILWAY STATION NAB,147.45,0,-2368.14,DR,REF944701,NAB,Business
01-08-2025 05:54,NAB63FEC800B2694D9C9B57,082-900-001,44444444,SPOTIFY NAB,321.97,0,-2690.11,DR,REF874199,NAB,Business
01-08-2025 07:34,NAB7EA3E736A85941529564,082-900-001,44444444,JB HI-FI NAB,690.96,0,-3381.07,DR,REF224550,NAB,Business
01-08-2025 08:25,NAB041675E2A3A2418A866B,082-900-001,44444444,AMAZON AU NAB,57.68,0,-3438.75,DR,REF676166,NAB,Business
01-08-2025 09:21,NAB73F5EFA399DB4AC09A4E,082-900-001,44444444,PAY - SALARY NAB,0,1855.78,-1582.97,CR,REF477717,NAB,Business
01-08-2025 09:29,NAB011F93BE1EF9452FAC03,082-900-001,44444444,KFC NAB,338.61,0,-1921.58,DR,REF399184,NAB,Business
01-08-2025 10:35,INTBBFAC6E160E44573BD2B,082-900-001,44444444,TRANSFER TO CBA 22222222,1225.3,0,-3146.88,DR,INT-51084,NAB,Business
